GeneId,Alias,WT,WTMinus,PYE,PPL,V-EN,C-EN-V,EP-C,EP
AT3G27490,unknown,0.5250684,0.840046,0.378747,0.9771231,0.4714913,0.4298697,0.6664877,0.4181652
AT3G28770,unknown,0.2781032,0.170472,0.06039113,0.1398134,0.06222096,0.06515183,0.02749965,0.02335658
AT3G29240,unknown,40.20635,43.08245,31.73383,38.86278,31.7259,25.7375,21.54957,25.97501
AT3G44400,unknown,8.859209,10.93634,7.930096,9.545936,8.143054,7.198204,7.859662,7.422117
AT3G49551,unknown,6.149902,4.732475,3.328796,3.849286,4.131657,1.858487,2.455723,1.957043
AT3G50550,unknown,32.79814,36.75016,49.11438,47.15975,53.42765,56.68717,52.00531,54.61605
AT3G50800,unknown,2.50177,4.314175,3.045455,4.134019,5.026611,2.192893,2.644551,3.497455
AT3G51680,"AtSDR2, SDR2",0.4252846,0.5428871,0.9835708,0.8235053,0.8576277,1.385117,0.8967907,0.8908819
AT3G52420,"ATOEP7, OEP7",27.88011,43.89073,46.04049,51.99735,63.27475,69.10869,58.79321,62.92848
AT3G52820,"ATPAP22, PAP22",3.203941,3.449947,3.139249,3.111989,4.036526,2.17402,3.231139,3.358493
AT3G52905,unknown,4.549942,6.540778,8.520844,8.129617,7.829541,10.04385,8.727494,7.962822
AT3G55820,unknown,1.983501,1.552268,2.135761,1.940318,2.037806,2.654112,2.447656,1.972776
AT3G56020,unknown,83.12879,173.4452,167.1266,267.0265,254.6698,306.4614,198.7617,219.8504
AT3G56040,UGP3,5.242232,3.816672,5.12748,3.998268,3.974295,5.781418,5.831481,4.909192
AT3G59290,unknown,10.69161,8.941921,7.226051,8.882232,6.419131,5.819713,6.073651,6.257848
AT3G62190,unknown,38.05757,31.62606,44.6402,36.10337,46.19039,55.03921,55.73444,55.66977
AT3G63300,FKD1,6.673841,6.640282,4.743458,7.52031,5.219213,4.29303,4.507287,4.683653
AT4G00165,unknown,2.605138,1.931649,3.24826,2.723107,2.479887,4.096837,4.491042,3.906781
AT4G03500,unknown,3.649091,2.993128,4.365982,3.933474,4.069147,5.032632,4.458405,5.276514
AT4G03935,unknown,4.256,3.302549,2.8685,2.762959,3.492302,1.462544,3.364697,1.915361
AT4G04360,unknown,1.93681,1.352677,2.286442,2.416966,2.252887,2.762549,1.956925,2.307451
AT4G04880,unknown,5.159564,4.236756,6.002823,4.901128,5.67773,7.198512,5.622899,6.461612
AT4G05440,EDA35,7.397424,7.724451,11.14544,9.679594,10.84464,12.11151,11.84017,11.45317
AT4G08510,unknown,5.238571,7.701877,10.9744,7.942795,10.75017,11.76023,12.7319,11.66084
AT4G09890,unknown,27.20109,36.50935,25.67664,32.32503,27.66154,23.63415,19.78026,21.75465
AT4G10000,unknown,2.319527,1.601929,2.098875,1.585894,1.415843,2.544423,1.381886,1.589861
AT4G10060,unknown,0.313058,0.3056499,0.391531,0.2574579,0.396216,0.6579954,0.2236592,0.1560309
AT4G10450,unknown,28.08039,33.91006,42.42303,44.59804,44.85075,55.83793,44.7595,46.65521
AT4G10560,MEE53,0.5508163,0.489653,0.6937371,0.696651,0.8852738,0.9920333,0.718773,0.4181336
AT4G11211,unknown,10.2036,12.95891,4.740439,9.146908,11.1628,5.514157,4.871477,3.967976
AT4G11310,unknown,1.376323,0.7779014,0.4324363,0.5919562,0.5402268,0.3049892,0.2961597,0.04669619
AT4G12490,unknown,0.0551281,0.4218338,1.287996,0.8595135,1.288415,1.736641,0.6751464,0.6753075
AT4G13310,CYP71A20,19.14791,28.19161,11.86509,16.65355,34.42313,5.113062,6.036584,9.140722
AT4G14330,unknown,3.168917,2.768389,2.013837,3.066876,2.078839,1.757843,1.897356,2.056135
AT4G14740,unknown,22.91149,17.31247,11.81933,17.6894,12.12691,11.46973,8.973782,8.690065
AT4G15396,CYP702A6,3.469659,3.694284,3.45435,3.535948,4.582355,1.932343,1.438102,1.480868
AT4G15790,unknown,13.20878,12.12679,13.53594,13.77304,17.37916,18.17106,15.41682,15.04822
AT4G16442,unknown,5.27843,7.193692,7.326095,8.28686,9.667775,10.8607,7.83431,6.576822
AT4G16770,unknown,9.908162,7.726742,10.74832,8.634677,10.2635,12.19199,10.9358,11.65836
AT4G17030,"AT-EXPR, ATEXLB1, ATEXPR1, ATHEXP BETA 3.1, EXLB1, EXPR",14.65865,14.66025,9.59819,19.20037,18.39567,7.371335,5.224666,6.928962
AT4G17280,unknown,39.41453,26.09617,39.9918,25.89692,34.7903,43.502,37.57523,38.1247
AT4G17785,MYB39,1.863648,2.707038,4.897433,2.09968,3.330304,5.171784,4.570526,4.738879
AT4G17880,MYC4,25.65603,22.47529,15.65257,20.56038,15.97181,14.10541,15.22972,15.73621
AT4G17915,unknown,1.080409,1.187777,1.856383,1.142006,1.681833,1.999793,1.310533,1.856727
AT4G18080,unknown,0.146625,0.1079747,0.5611293,0.02780091,0.860491,1.082056,0.9308959,0.5782157
AT4G18440,unknown,5.126803,5.799854,8.49457,7.176139,6.738042,8.899706,8.088255,7.442699
